sleep,class,study,activity,happiness,performance
2,10,7,10,3,68
2,14,9,9,0,87
3,3,11,6,5,49
10,14,11,1,7,79
9,5,8,4,9,54
17,4,12,8,2,70
15,7,2,5,2,81
18,3,12,5,5,59
18,2,1,2,2,63
14,10,15,2,6,48
15,2,13,3,5,70
19,15,13,4,8,8
14,4,9,6,8,94
14,8,10,9,8,50
14,15,1,1,3,15
19,8,9,6,9,26
7,14,14,6,3,5
18,10,9,6,5,61
9,7,6,10,10,35
15,12,12,6,0,31
8,9,10,3,2,51
13,12,6,6,9,33
14,2,11,7,8,41
5,5,3,2,4,75
17,8,9,3,2,57
18,2,4,2,2,37
18,13,12,10,7,95
19,6,6,10,10,15
1,5,13,10,2,13
6,9,1,6,3,88
5,13,8,9,9,84
19,6,14,8,9,14
1,9,1,4,1,3
13,11,11,3,2,34
1,15,11,3,0,30
14,7,12,2,10,27
16,13,9,3,6,87
6,14,5,3,8,70
4,11,12,5,2,14
10,10,12,8,2,47
8,6,13,1,4,84
4,7,1,4,9,93
11,15,1,4,4,96
13,13,6,6,3,88
2,10,6,7,2,94
6,15,13,9,3,14
19,10,1,6,10,65
9,9,7,10,2,14
15,12,15,2,10,93
1,14,11,3,2,28
8,13,12,2,4,95
6,14,8,2,10,49
8,10,1,2,6,92
14,7,11,3,8,82
11,6,11,1,1,67
4,1,6,1,9,23
19,9,5,9,4,37
6,13,12,6,9,46
1,10,13,10,6,1
14,6,14,8,9,8
19,7,2,7,3,12
4,3,6,7,9,39
19,8,8,3,6,56
4,7,1,4,8,95
9,2,2,8,9,31
18,4,12,9,6,85
15,1,15,1,6,2
12,2,9,6,2,88
19,3,15,1,9,3
8,7,2,10,2,5
1,13,15,5,6,75
17,7,15,9,5,86
2,12,6,5,7,37
14,2,15,10,1,83
10,7,4,5,2,32
15,10,1,4,7,37
18,13,8,10,9,4
5,1,8,3,8,56
18,13,4,4,6,65
4,5,10,4,9,24
10,12,15,9,1,11
19,8,3,4,9,57
1,12,6,6,6,77
13,8,1,10,2,55
17,9,14,2,7,84
1,2,2,10,0,85
6,5,2,7,3,99
6,6,4,8,5,52
7,9,11,8,3,63
3,14,4,6,6,76
1,1,14,4,9,39
14,11,10,10,8,31
2,9,12,3,3,61
2,14,1,1,8,96
10,2,9,2,7,57
18,15,9,4,5,19
4,8,2,1,2,65
2,4,1,5,2,93
3,12,15,10,8,28
8,6,14,1,8,8
16,6,1,10,2,90
15,14,3,7,3,67
17,1,3,7,5,82
1,11,3,9,10,18
12,11,15,3,7,60
2,2,7,7,4,21
11,8,7,6,2,47
5,6,3,2,5,60
19,7,5,1,1,14
3,15,12,4,7,99
14,8,5,7,2,24
18,11,15,4,7,11
11,3,10,7,10,84
7,3,4,2,7,5
17,9,3,3,0,85
7,5,2,9,9,1
13,9,4,7,5,9
3,10,7,2,7,29
19,4,6,10,8,46
12,4,2,7,5,56
17,14,3,9,3,59
5,4,12,1,2,14
